"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Egypt, Arab Rep.",EGY,24.563
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,El Salvador,SLV,23.613
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Equatorial Guinea,GNQ,39.166
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Eritrea,ERI,39.86
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Estonia,EST,9.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ethiopia,ETH,42.727
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Faeroe Islands,FRO,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Fiji,FJI,24.465
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Finland,FIN,10.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,France,FRA,13.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,French Polynesia,PYF,19.536
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gabon,GAB,33.562
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Gambia, The",GMB,45.118
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Georgia,GEO,11.898
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Germany,DEU,8.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ghana,GHA,34.452
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greece,GRC,9.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greenland,GRL,16.6282165039929
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Grenada,GRD,19.087
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guam,GUM,21.466
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guatemala,GTM,36.288
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea,GIN,41.675
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea-Bissau,GNB,41.273
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guyana,GUY,21.897
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Haiti,HTI,30.563
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Honduras,HND,30.967
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Hong Kong SAR, China",HKG,7.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Hungary,HUN,9.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iceland,ISL,14.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,India,IND,25.186
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Indonesia,IDN,21.477
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Iran, Islamic Rep.",IRN,18.228
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iraq,IRQ,35.614
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ireland,IRL,15
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Isle of Man,IMY,
